name,artist,played_at,date,hour,day_of_week,rewind_score,is_high_replay
House of Cards (Full Length Edition),BTS,2025-06-20 01:24:44.711000+00:00,2025-06-20,1,Friday,1,False
Low,Larry Gaaga,2025-06-18 15:05:40.259000+00:00,2025-06-18,15,Wednesday,1,False
Many Ways (feat. Wizkid),BNXN,2025-06-18 01:19:02.859000+00:00,2025-06-18,1,Wednesday,1,False
Monalisa,Lojay,2025-06-18 01:15:09.076000+00:00,2025-06-18,1,Wednesday,2,False
Ojuelegba,Wizkid,2025-06-18 01:11:34.127000+00:00,2025-06-18,1,Wednesday,1,False
Laho,Shallipopi,2025-06-18 01:07:57.527000+00:00,2025-06-18,1,Wednesday,1,False
Terminator,Asake,2025-06-18 01:05:32.871000+00:00,2025-06-18,1,Wednesday,1,False
Woman,Rema,2025-06-18 01:02:34.271000+00:00,2025-06-18,1,Wednesday,1,False
Caro,Wizkid,2025-06-18 00:58:15.460000+00:00,2025-06-18,0,Wednesday,2,False
Tell Ur Girlfriend,Lay Bankz,2025-06-18 00:50:54.447000+00:00,2025-06-18,0,Wednesday,1,False
500lbs,Lil Tecca,2025-06-18 00:46:32.928000+00:00,2025-06-18,0,Wednesday,1,False
Active,Asake,2025-06-18 00:44:08.535000+00:00,2025-06-18,0,Wednesday,1,False
Koroba,Tiwa Savage,2025-06-18 00:40:25.189000+00:00,2025-06-18,0,Wednesday,1,False
Caro,Wizkid,2025-06-18 00:37:50.299000+00:00,2025-06-18,0,Wednesday,2,False
Peace Be Unto You (PBUY),Asake,2025-06-18 00:32:51.823000+00:00,2025-06-18,0,Wednesday,1,False
Smile (feat. H.E.R.),Wizkid,2025-06-18 00:30:11.477000+00:00,2025-06-18,0,Wednesday,1,False
Wave,Asake,2025-06-18 00:24:12.789000+00:00,2025-06-18,0,Wednesday,1,False
Monalisa,Lojay,2025-06-18 00:20:46.204000+00:00,2025-06-18,0,Wednesday,2,False
Electricity,Pheelz,2025-06-18 00:15:10.804000+00:00,2025-06-18,0,Wednesday,1,False
Mayana,Aṣa,2025-06-18 00:12:57.492000+00:00,2025-06-18,0,Wednesday,1,False
Iskaba,Wande Coal,2025-06-18 00:10:18.548000+00:00,2025-06-18,0,Wednesday,1,False
Girlfriend,Ruger,2025-06-17 23:59:48.331000+00:00,2025-06-17,23,Tuesday,1,False
Happiness (feat. Asake & Gunna),Sarz,2025-06-17 23:56:31.061000+00:00,2025-06-17,23,Tuesday,1,False
Organise,Asake,2025-06-17 23:52:44.371000+00:00,2025-06-17,23,Tuesday,1,False
Bandana,Fireboy DML,2025-06-17 23:47:25.732000+00:00,2025-06-17,23,Tuesday,1,False
KU LO SA - A COLORS SHOW,Oxlade,2025-06-17 23:44:26.837000+00:00,2025-06-17,23,Tuesday,1,False
Peace Of Mind,Rema,2025-06-17 23:41:58.919000+00:00,2025-06-17,23,Tuesday,1,False
Water No Get Enemy,Fela Kuti,2025-06-17 23:38:29.532000+00:00,2025-06-17,23,Tuesday,1,False
Bad For You (feat. Jazmine Sullivan),Wizkid,2025-06-17 23:28:37.545000+00:00,2025-06-17,23,Tuesday,1,False
Soh-Soh,Odeal,2025-06-17 23:23:14.107000+00:00,2025-06-17,23,Tuesday,1,False
Cupid Shuffle,Cupid,2025-06-17 03:21:16.634000+00:00,2025-06-17,3,Tuesday,1,False
Sometimes I Wonder,Aṣa,2025-06-15 20:17:34.529000+00:00,2025-06-15,20,Sunday,1,False
ODO,Aṣa,2025-06-14 19:13:50.409000+00:00,2025-06-14,19,Saturday,1,False
Mayana,Aṣa,2025-06-14 19:10:31.380000+00:00,2025-06-14,19,Saturday,1,False
Barber: Adagio for Strings,Samuel Barber,2025-06-12 21:31:12.522000+00:00,2025-06-12,21,Thursday,1,False
"Symphony No.6 in B Minor, op. 74 "" Pathétique "" : IV. Finale - Adagio lamentoso",Radio Symphony Orchestra Ljubljana,2025-06-12 19:01:16.948000+00:00,2025-06-12,19,Thursday,1,False
"Tosca: ""Vissi d'arte"" - Instrumental Version",Giacomo Puccini,2025-06-12 16:46:24.966000+00:00,2025-06-12,16,Thursday,1,False
"Serenade for Strings in E Major, Op. 22, B. 52: I. Moderato",Antonín Dvořák,2025-06-12 16:43:43.953000+00:00,2025-06-12,16,Thursday,1,False
"Serenade for Strings in E Major, Op. 22, B. 52: II. Menuetto. Allegro con moto",Antonín Dvořák,2025-06-12 16:39:01.273000+00:00,2025-06-12,16,Thursday,1,False
"Holberg Suite, Op. 40: I. Praeludium - Live",Edvard Grieg,2025-06-12 16:32:18.069000+00:00,2025-06-12,16,Thursday,1,False
"Symphony No. 8 in F Major, Op. 93: IV. Allegro vivace",Ludwig van Beethoven,2025-06-12 16:29:08.118000+00:00,2025-06-12,16,Thursday,1,False
"Beethoven: Symphony No. 8 in F Major, Op. 93: III. Tempo di menuetto",Ludwig van Beethoven,2025-06-12 16:21:18.541000+00:00,2025-06-12,16,Thursday,1,False
Andante Festivo,Jean Sibelius,2025-06-12 16:20:10.281000+00:00,2025-06-12,16,Thursday,1,False
Le grand cahier: I. La forêt et la rivière,Alexander Litvinovsky,2025-06-12 16:19:56.642000+00:00,2025-06-12,16,Thursday,1,False
Eine Kleine Nachtmusik: Menuetto Allegretto,The Royal Festival Orchestra,2025-06-12 16:17:27.661000+00:00,2025-06-12,16,Thursday,1,False
